"species","sample","ind","loc","ring","year","comment"
"PP","1","1","Ref","EW",2005,"valid"
"PP","1","1","Ref","EW",2006,"valid"
"PP","1","1","Ref","EW",2007,"valid"
"PP","1","1","Ref","EW",2008,"valid"
"PP","1","1","Ref","EW",2009,"valid"
"PP","1","1","Ref","EW",2011,"valid"
"PP","1","1","Ref","EW",2012,"valid"
"PP","1","1","Ref","EW",2013,"valid"
"PP","1","1","Ref","EW",2014,"valid"
"PP","1","1","Ref","EW",2015,"valid"
"PP","1","1","Ref","EW",2017,"valid"
"PP","1","1","Ref","EW",2018,"valid"
"PP","1","1","Ref","EW",2019,"valid"
"PP","1","1","Ref","EW",2020,"valid"
"PP","1","1","Ref","EW",2021,"valid"
"PP","1","1","Ref","EW",2022,"valid"
"PP","1","1","Ref","EW",2023,"valid"
"PP","1","1","Ref","EW",2024,"valid"
"PP","1","2","Ref","EW",2006,"valid"
"PP","1","2","Ref","EW",2007,"valid"
"PP","1","2","Ref","EW",2008,"valid"
"PP","1","2","Ref","EW",2009,"valid"
"PP","1","2","Ref","EW",2011,"valid"
"PP","1","2","Ref","EW",2013,"valid"
"PP","1","2","Ref","EW",2014,"valid"
"PP","1","2","Ref","EW",2015,"valid"
"PP","1","2","Ref","EW",2016,"valid"
"PP","1","2","Ref","EW",2017,"valid"
"PP","1","2","Ref","EW",2018,"valid"
"PP","1","2","Ref","EW",2019,"valid"
"PP","1","2","Ref","EW",2020,"valid"
"PP","1","2","Ref","EW",2021,"valid"
"PP","1","2","Ref","EW",2022,"valid"
"PP","1","2","Ref","EW",2023,"valid"
"PP","1","2","Ref","EW",2024,"valid"
"PP","1","3","Ref","EW",2006,"valid"
"PP","1","3","Ref","EW",2007,"valid"
"PP","1","3","Ref","EW",2008,"valid"
"PP","1","3","Ref","EW",2009,"valid"
"PP","1","3","Ref","EW",2011,"valid"
"PP","1","3","Ref","EW",2013,"valid"
"PP","1","3","Ref","EW",2014,"valid"
"PP","1","3","Ref","EW",2015,"valid"
"PP","1","3","Ref","EW",2016,"valid"
"PP","1","3","Ref","EW",2017,"valid"
"PP","1","3","Ref","EW",2018,"valid"
"PP","1","3","Ref","EW",2019,"valid"
"PP","1","3","Ref","EW",2020,"valid"
"PP","1","3","Ref","EW",2021,"valid"
"PP","1","3","Ref","EW",2022,"valid"
"PP","1","3","Ref","EW",2024,"valid"
"PP","1","1","Ref","LW",2005,"valid"
"PP","1","1","Ref","LW",2006,"valid"
"PP","1","1","Ref","LW",2007,"valid"
"PP","1","1","Ref","LW",2008,"valid"
"PP","1","1","Ref","LW",2009,"valid"
"PP","1","1","Ref","LW",2010,"valid"
"PP","1","1","Ref","LW",2011,"valid"
"PP","1","1","Ref","LW",2012,"valid"
"PP","1","1","Ref","LW",2013,"valid"
"PP","1","1","Ref","LW",2014,"valid"
"PP","1","1","Ref","LW",2015,"valid"
"PP","1","1","Ref","LW",2016,"valid"
"PP","1","1","Ref","LW",2017,"valid"
"PP","1","1","Ref","LW",2018,"valid"
"PP","1","1","Ref","LW",2019,"valid"
"PP","1","1","Ref","LW",2020,"valid"
"PP","1","1","Ref","LW",2021,"valid"
"PP","1","1","Ref","LW",2022,"valid"
"PP","1","1","Ref","LW",2023,"valid"
"PP","1","2","Ref","LW",2005,"valid"
"PP","1","2","Ref","LW",2006,"valid"
"PP","1","2","Ref","LW",2007,"valid"
"PP","1","2","Ref","LW",2008,"valid"
"PP","1","2","Ref","LW",2009,"valid"
"PP","1","2","Ref","LW",2010,"valid"
"PP","1","2","Ref","LW",2012,"valid"
"PP","1","2","Ref","LW",2013,"valid"
"PP","1","2","Ref","LW",2014,"valid"
"PP","1","2","Ref","LW",2015,"valid"
"PP","1","2","Ref","LW",2016,"valid"
"PP","1","2","Ref","LW",2017,"valid"
"PP","1","2","Ref","LW",2018,"valid"
"PP","1","2","Ref","LW",2019,"valid"
"PP","1","2","Ref","LW",2020,"valid"
"PP","1","2","Ref","LW",2021,"valid"
"PP","1","2","Ref","LW",2022,"valid"
"PP","1","2","Ref","LW",2023,"ganzevtlMixed"
"PP","1","3","Ref","LW",2006,"valid"
"PP","1","3","Ref","LW",2007,"valid"
"PP","1","3","Ref","LW",2010,"valid"
"PP","1","3","Ref","LW",2012,"valid"
"PP","1","3","Ref","LW",2013,"valid"
"PP","1","3","Ref","LW",2014,"valid"
"PP","1","3","Ref","LW",2015,"valid"
"PP","1","3","Ref","LW",2016,"valid"
"PP","1","3","Ref","LW",2018,"valid"
"PP","1","3","Ref","LW",2019,"valid"
"PP","1","3","Ref","LW",2020,"valid"
"PP","1","3","Ref","LW",2021,"valid"
"PP","1","3","Ref","LW",2022,"valid"
"PP","1","3","Ref","LW",2023,"valid"
